code,name,price,pe,out,industry,org,eps,gjj,rjcg,gdrs,mgjzc,sjl,lytb,mgwfp,srtb,date,yes
600595,中孚实业,4.47,71.01,151487.38,铝,河南,0.016,1.76,9708,156047,3.12,1.43,123.04,0.21,17.8,20020626,4.06
000753,漳州发展,4.7,32.1,41119.33,汽车服务,福建,0.037,0.3,9134,45017,2.04,2.31,-2.87,0.68,34.54,19970626,4.27
600268,国电南自,6.34,--  ,63524.64,电气设备,江苏,-0.190,1.61,18626,34106,3.51,1.81,-137.76,0.63,-5.76,19991118,5.76
600210,紫江企业,4.81,44.9,143673.59,广告包装,上海,0.027,0.32,8835,162618,2.59,1.86,-19.06,0.99,5.16,19990824,4.37
000736,中房地产,8.42,11.76,12824.53,全国地产,重庆,0.179,1.71,10080,12723,5.59,1.51,14.21,2.74,-81.89,19970425,7.65
600219,南山铝业,5.91,32.05,193417.06,铝,山东,0.046,5.04,9550,202524,9.01,0.66,-1.92,2.73,-1.52,19991223,5.37
002274,华昌化工,8.43,--  ,38293.26,农药化肥,江苏,-0.017,2.17,14088,27182,3.74,2.25,48.42,0.75,17.74,20080925,7.66
601677,明泰铝业,10.95,136.47,10825,铝,河南,0.020,3.44,4516,23970,6.32,1.73,-28.61,1.71,10.75,20110919,9.95
600405,动力源,11.29,123.87,38131.76,电气设备,北京,0.023,0.59,8334,45753,1.71,6.61,296.76,0.39,31.95,20040401,10.26
000905,厦门港务,9.1,33.66,53100,港口,福建,0.068,0.49,9826,54040,4.38,2.08,41.99,2.49,151.2,19990429,8.27
002114,罗平锌电,12.94,--  ,8625.33,铅锌,云南,-0.071,2.58,3596,23983,2.76,4.7,49.94,-0.97,81.94,20070215,11.76
002575,群兴玩具,17,204.87,25960,文教休闲,广东,0.021,1.77,15365,16896,3.39,5.01,-40.3,0.53,-25.12,20110422,15.45
000962,东方钽业,12.62,--  ,44083.01,小金属,宁夏,-0.059,2.72,6486,67971,5.47,2.31,-264.83,1.2,0.53,20000120,11.47
002640,百圆裤业,22.06,187.39,3334,服饰,山西,0.029,2.74,2807,11877,5.24,4.21,-45.93,1.31,3.34,20111208,20.05
002196,方正电机,14.16,324.4,8062.12,纺织机械,浙江,0.011,2.49,6601,12214,4.15,3.41,-70.42,0.51,5,20071212,12.87
002517,泰亚股份,9.55,--  ,17680,服饰,福建,-0.052,1.88,15386,11491,3.64,2.62,-875.65,0.67,0.24,20101207,8.68
000592,平潭发展,10.43,9218.25,53289.07,林业,福建,0.000,0.64,17095,31173,1.26,8.28,123.51,-0.42,17.52,19960327,9.48
000151,中成股份,12.74,36.43,26654.4,商贸代理,北京,0.087,1.49,7985,33379,3.37,3.78,43.91,0.53,14.33,20000906,11.58
600420,现代制药,21.2,38.34,28773.33,化学制药,上海,0.138,0.26,16173,17791,3.6,5.89,10.3,2.06,-4.92,20040616,19.27
300014,亿纬锂能,18.13,66.5,31192.9,元器件,广东,0.068,0.69,21989,14186,2.3,7.89,22,0.99,31.94,20091030,16.48
002157,正邦科技,9.89,--  ,27571.34,饲料,江西,-0.160,0.43,11585,23800,2.1,4.72,-427.22,0.59,2.51,20070817,8.99
600390,金瑞科技,14.18,339.99,38194.67,小金属,湖南,0.010,1.5,10485,36427,2.38,5.95,-40.35,-0.19,32.44,20010115,12.89
300228,富瑞特装,49.37,24.1,9991.25,化工机械,江苏,0.512,2.97,10156,9838,8.06,6.13,42.09,3.73,30.08,20110608,44.88
603009,北特科技,12.21,28.93,2667,汽车配件,上海,0.211,0.12,1102,24193,3.4,3.59,0,1.59,0,20140718,11.1
002578,闽发铝业,12.43,51.44,8903,铝,福建,0.060,3.37,6283,14169,5.6,2.22,-1.64,1.07,-5.14,20110428,11.3
000933,神火股份,3.85,--  ,188201.88,煤炭开采,河南,-0.096,1.14,15326,122801,3.92,0.98,-303.77,1.36,-11.68,19990831,3.5
002176,江特电机,14.64,159.12,42548.98,电气设备,江西,0.023,0.39,15623,27235,2.15,6.8,10.22,0.48,27.79,20071012,13.31
601777,力帆股份,8.59,18.67,95144.5,摩托车,重庆,0.115,3.24,18430,51626,5.76,1.49,42.55,1.35,1.92,20101125,7.81
000559,万向钱潮,13.66,36.24,190825.09,汽车配件,浙江,0.094,0.53,19638,97173,1.9,7.19,27.12,0.44,9.62,19940110,12.42
002108,沧州明珠,17.85,69.49,33627.39,塑料,河北,0.064,0.97,13301,25282,3.51,5.09,-9.17,1.3,15.55,20070124,16.23
000632,三木集团,5.07,156.49,46505.91,综合类,福建,0.008,1.38,7647,60815,2.68,1.89,-9.24,0.28,-17.75,19961121,4.61
000927,一汽夏利,4.19,--  ,159517.09,汽车整车,天津,-0.127,0.84,29493,54087,1.86,2.25,-247.33,-0.28,-47.24,19990727,3.81
000839,中信国安,8.38,74.74,156760.28,综合类,北京,0.028,1.25,12382,126603,3.74,2.24,8.87,1.25,3.59,19971031,7.62
000682,东方电子,3.56,199.64,97800.92,电气设备,山东,0.004,0.35,6387,153126,1.47,2.42,6.98,0.11,4.45,19970121,3.24
002407,多氟多,22.14,171.07,18307.91,化工原料,河南,0.032,4.19,6357,28798,6.59,3.36,-29.34,1.18,24.35,20100518,20.2
300134,大富科技,49.45,13.8,29135.18,通信设备,深圳,0.896,5.74,26975,10801,7.75,6.38,12893.95,0.91,54.78,20101026,45.23
002227,奥 特 迅,23.99,411.25,21715.24,电气设备,深圳,0.015,1.7,16716,12991,3.1,7.74,27.79,0.69,33.52,20080506,22.06
600057,象屿股份,7.23,25.61,29016.77,仓储物流,福建,0.071,0.2,6350,45694,2.17,3.33,185.96,0.92,59.75,19970604,6.67
600563,法拉电子,40.03,31.67,22500,元器件,福建,0.316,1.16,14980,15020,7.49,5.34,26.42,4.63,21.08,20021210,36.95
