date,open,high,close,low,vol,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2011-08-02,6.680,6.680,6.590,6.480,21153.24,-1.50,6.590,6.590,6.590,21153.24,21153.24,21153.24,0.67
2011-08-03,6.540,6.660,6.590,6.500,12591.36,0.00,6.590,6.590,6.590,16872.30,16872.30,16872.30,0.40
2011-08-04,6.580,6.670,6.640,6.560,12887.19,0.76,6.607,6.607,6.607,15543.93,15543.93,15543.93,0.41
2011-08-05,6.520,6.530,6.460,6.400,17573.14,-2.71,6.570,6.570,6.570,16051.23,16051.23,16051.23,0.56
2011-08-08,6.400,6.400,5.940,5.860,35469.01,-8.05,6.444,6.444,6.444,19934.79,19934.79,19934.79,1.12
2011-08-09,5.840,5.940,5.880,5.650,19685.49,-1.01,6.302,6.350,6.350,19641.24,19893.24,19893.24,0.62
2011-08-10,5.960,6.090,5.980,5.950,16554.01,1.70,6.180,6.297,6.297,20433.77,19416.21,19416.21,0.52
2011-08-11,5.880,6.280,6.200,5.750,32707.12,3.68,6.092,6.285,6.285,24397.75,21077.57,21077.57,1.03
2011-08-12,6.150,6.330,6.270,6.150,35455.40,1.13,6.054,6.283,6.283,27974.21,22675.11,22675.11,1.12
2011-08-16,6.300,6.430,6.240,6.230,30842.82,-0.48,6.114,6.279,6.279,27048.97,23491.88,23491.88,0.98
2011-08-17,6.190,6.260,6.190,6.170,14949.97,-0.80,6.176,6.239,6.271,26101.86,22871.55,22715.34,0.47
2011-08-18,6.170,6.320,6.100,6.080,17169.87,-1.45,6.200,6.190,6.257,26225.04,23329.40,22253.22,0.54
2011-08-19,5.870,6.040,6.010,5.870,11412.25,-1.48,6.162,6.127,6.238,21966.06,23181.91,21419.30,0.36
2011-08-22,6.020,6.120,6.040,6.010,10293.77,0.50,6.116,6.085,6.224,16933.74,22453.97,20624.62,0.33
2011-08-23,6.060,6.170,6.140,6.030,14706.35,1.66,6.096,6.105,6.218,13706.44,20377.70,20230.07,0.46
2011-08-24,6.200,6.200,6.110,6.110,10703.39,-0.49,6.080,6.128,6.211,12857.13,19479.50,19634.65,0.34
2011-08-25,6.160,6.290,6.270,6.160,26789.54,2.62,6.114,6.157,6.215,14781.06,20503.05,20055.52,0.85
2011-08-26,6.230,6.310,6.270,6.220,18415.56,0.00,6.166,6.164,6.218,16181.72,19073.89,19964.42,0.58
2011-08-29,6.290,6.290,6.190,6.180,13713.69,-1.28,6.196,6.156,6.216,16865.71,16899.72,19635.43,0.43
2011-08-30,6.220,6.290,6.160,6.150,15252.18,-0.48,6.200,6.148,6.214,16974.87,15340.66,19416.27,0.48
2011-08-31,6.160,6.180,6.090,6.020,17187.20,-1.14,6.196,6.138,6.189,18271.63,15564.38,19217.97,0.54
2011-09-01,6.120,6.170,6.080,6.060,9385.24,-0.16,6.158,6.136,6.163,14790.77,14785.92,19057.66,0.30
